Tweet_no,Tweet
157,"getting sick  time for some hot tea, studying, and then sleeeep"
158,Getting eyebrows waxed. More pain 
159,No phantasy star yesterday  going to work...
160,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
161,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
162,is alone downstairs...working 
163,I feel bad for doing it 
164,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
165,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
166,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
167,Thanks for bursting my bubble 
168,Going to school soon... can't find anything to wear!! gosh it's so hard 
169,@marieclr I was serious  LOL
170,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
171,Crazy wind today = no birding  http://ff.im/1XTTi
172,currently at work.. 
173,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
174,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
175,i don't see the big deal with this website 
176,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
177,@ColinDeMar Far too out of the way for rail.  any other tips?
178,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
179,"Today I realized I am too good at hiding things, even I can't find it "
180,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
181,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
182,Check out my mug  http://www.erika-obscura.blogspot.com
183,Borders closed at 10 
184,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
185,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
186,is watching the hill . . .and its making me sad 
187,So many channels.... yet so so boring... lazy day again  may have to find a hobby
188,@supersport I miss my buddy  ill be in NY on the 25th
189,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
190,Opps.. As I said.. I still got one day remain and now problem come 
191,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
192,@HillyDoP  oH NO
193,spencer is not a good guy. 
194,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
195,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she???¨?«s not well "
196,didn't get shit done today ~ i'm so screwed 
197,wanttss to go out 
198,Is not going to sleep tonite. 
199,too worried and tired to post tonight 
200,couldn't get shit done today ~ i'm so screwed 
201,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
202,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
203,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
204,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
205,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
206,i hate to see the spartans so sad 
207,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
208,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
209,@mandayyy 
210,@twista202 I think I want to read some books but the library doesn't have them 
211,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
212,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
213,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
214,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
215,sad that the 'feet' of my macbook just fell off 
216,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
217,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
218,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
219,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
220,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
221,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
222,@breadandbadger Congrats!!  i totally forgot to submit photos 
223,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
224,@imaginarypeach now your leaving me  .... -gets sad-
225,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
226,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
227,Tuesday???¨?«ll start with reflection ???¨?«n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
228,What tragedy and disaster in the news this week 
229,yes yes still trying to find a picture that will upload correclty.. 
230,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
231,I still can't find my keys. 
232,@charlietm I know right. I dunno what is going on with twitter. 
233,might be getting a sore throat again 
234,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
235,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
236,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
237,is in the bathroom... wake up lakin. 
238,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
239,"im lonely  keep me company! 22 female, california"
240,bad day at the betfair office 
241,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
242,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
243,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
244,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
245,@miss_om Aww  I know I felt like that yesterday at work 
246,@SarahReedSC treaty isn't defined 
247,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
248,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
249,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
250,@mandayyy   
251,New video card is DOA. 
252,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
253,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
254,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
255,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
256,has lost his ring. It's no-where to be seen 
257,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
258,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
259,Is fucked to go back to IC 
260,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
261,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
262,@kissability Me too I is poor 
263,help me forget 8th april &amp; 13th july! 
264,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
265,i have to take my sidekick back. 
266,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
267,gr8t my face is very itchy 
268,poor socks  luvvvvv the golden retriever!! I want one sighhhh
269,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
